time,latitude,longitude,id,cluster-id
1211909327,37.7621,-122.45911,abmuyawm,-1
1211911005,37.77467,-122.42479,abmuyawm,0
1211911317,37.79221,-122.42303,abmuyawm,1
1211912356,37.78918,-122.43207,abmuyawm,1
1211912477,37.78429,-122.43301,abmuyawm,1
1211914582,37.79979,-122.43778,abmuyawm,1
1211914611,37.79979,-122.43778,abmuyawm,1
1211915305,37.7747,-122.4463,abmuyawm,4
1211915690,37.76959,-122.43761,abmuyawm,422
1211915847,37.77059,-122.44222,abmuyawm,62
1211917954,37.79197,-122.40084,abmuyawm,1
1211918183,37.78975,-122.41701,abmuyawm,1
1211918334,37.78965,-122.4123,abmuyawm,1
1211918394,37.79033,-122.40678,abmuyawm,1
1211918766,37.78767,-122.42021,abmuyawm,1
1211918816,37.7877,-122.42018,abmuyawm,1
1211918846,37.7877,-122.42018,abmuyawm,1
1211918936,37.78767,-122.42009,abmuyawm,1
1211919458,37.79233,-122.42142,abmuyawm,1
1211919685,37.79066,-122.42072,abmuyawm,1
1211919774,37.78997,-122.42554,abmuyawm,1
1211920537,37.76305,-122.43482,abmuyawm,9
1211921093,37.78285,-122.42169,abmuyawm,1
1211921333,37.78135,-122.41215,abmuyawm,1
1211921573,37.76857,-122.40798,abmuyawm,43
1211922524,37.75286,-122.40823,abmuyawm,40
1211923840,37.78726,-122.41675,abmuyawm,1
1211926833,37.78324,-122.41585,abmuyawm,1
1211927058,37.7822,-122.42057,abmuyawm,1
1211927130,37.78449,-122.42095,abmuyawm,1
1211927238,37.78699,-122.41896,abmuyawm,1
1211927897,37.78722,-122.40975,abmuyawm,1
1211928087,37.78672,-122.42102,abmuyawm,1
1211945035,37.79908,-122.41925,abmuyawm,1
1211945153,37.79919,-122.41922,abmuyawm,1
1211945274,37.79908,-122.41928,abmuyawm,1
1211945639,37.79958,-122.40818,abmuyawm,1
1211945700,37.79962,-122.40817,abmuyawm,1
1211954966,37.78087,-122.42209,abmuyawm,1
1211965028,37.79762,-122.40544,abmuyawm,1
1211965208,37.79747,-122.40545,abmuyawm,1
1211965328,37.79744,-122.40552,abmuyawm,1
1211965388,37.7974,-122.40552,abmuyawm,1
1211965517,37.79762,-122.40531,abmuyawm,1
1211966714,37.79822,-122.40437,abmuyawm,1
1211967824,37.78898,-122.43333,abmuyawm,1
1211969218,37.78535,-122.4179,abmuyawm,1
1211969455,37.78537,-122.41797,abmuyawm,1
1211969515,37.78536,-122.41796,abmuyawm,1
1211969816,37.78529,-122.41791,abmuyawm,1
1211969927,37.78537,-122.41797,abmuyawm,1
1211970168,37.78544,-122.41795,abmuyawm,1
1211970228,37.78543,-122.41795,abmuyawm,1
1211970348,37.78539,-122.41796,abmuyawm,1
1211970408,37.78538,-122.41798,abmuyawm,1
1211970588,37.78543,-122.41799,abmuyawm,1
1211970648,37.78544,-122.41798,abmuyawm,1
1211970839,37.78537,-122.41806,abmuyawm,1
1211970959,37.78544,-122.41803,abmuyawm,1
1211971384,37.78648,-122.40378,abmuyawm,1
1211971404,37.78648,-122.40378,abmuyawm,1
1211972433,37.74856,-122.41602,abmuyawm,63
1211989307,37.77097,-122.43699,abmuyawm,64
1211989717,37.77509,-122.45276,abmuyawm,65
1211990049,37.76937,-122.45166,abmuyawm,4
1211992484,37.7957,-122.42176,abmuyawm,1
1211999753,37.77647,-122.46074,abmuyawm,66
1211999815,37.77648,-122.46073,abmuyawm,66
1212002005,37.79027,-122.40065,abmuyawm,1
1212002725,37.79073,-122.40423,abmuyawm,1
1212003398,37.78614,-122.41018,abmuyawm,1
1212003458,37.78654,-122.40685,abmuyawm,1
1212005433,37.78891,-122.4341,abmuyawm,1
1212006546,37.78934,-122.40839,abmuyawm,1
1212006989,37.79756,-122.42366,abmuyawm,1
1212007104,37.79763,-122.42366,abmuyawm,1
1212007145,37.79763,-122.42362,abmuyawm,1
1212007862,37.79491,-122.42159,abmuyawm,1
1212007919,37.7936,-122.42131,abmuyawm,1
1212007937,37.7936,-122.42131,abmuyawm,1
1212007949,37.7936,-122.42131,abmuyawm,1
1212016456,37.77304,-122.44574,abmuyawm,4
1212018092,37.72291,-122.44978,abmuyawm,67
1212023800,37.74839,-122.40826,abmuyawm,40
1212023923,37.74724,-122.4136,abmuyawm,-1
1212023951,37.74724,-122.4136,abmuyawm,-1
1212024333,37.75319,-122.41858,abmuyawm,18
1212025046,37.77832,-122.40099,abmuyawm,-1
1212026491,37.79914,-122.41929,abmuyawm,1
1212026561,37.79915,-122.41927,abmuyawm,1
1212026695,37.79914,-122.41927,abmuyawm,1
1212030294,37.75151,-122.4275,abmuyawm,31
1212030398,37.75136,-122.4275,abmuyawm,31
1212030458,37.7514,-122.4275,abmuyawm,31
1212030509,37.75138,-122.42749,abmuyawm,31
1212030641,37.75143,-122.4275,abmuyawm,31
1212030704,37.75139,-122.42748,abmuyawm,31
1212032482,37.78792,-122.42151,abmuyawm,1
1212032543,37.78793,-122.42154,abmuyawm,1
1212038452,37.72086,-122.47628,abmuyawm,68
1212038483,37.72086,-122.47628,abmuyawm,68
1212038512,37.72086,-122.47627,abmuyawm,68
1212038535,37.72086,-122.47627,abmuyawm,68
1212048784,37.76165,-122.48991,abmuyawm,1541
1212053753,37.7803,-122.4776,abmuyawm,69
1212053813,37.78028,-122.47758,abmuyawm,69
1212054306,37.78025,-122.47761,abmuyawm,69
1212054365,37.78027,-122.47758,abmuyawm,69
1212055318,37.78538,-122.41788,abmuyawm,1
1212055378,37.78544,-122.4179,abmuyawm,1
1212055618,37.78546,-122.41799,abmuyawm,1
1212056143,37.79066,-122.40521,abmuyawm,1
1212056176,37.79066,-122.40523,abmuyawm,1
1212056257,37.79056,-122.40517,abmuyawm,1
1212056796,37.78544,-122.41799,abmuyawm,1
1212057038,37.78544,-122.418,abmuyawm,1
1212057544,37.78651,-122.40802,abmuyawm,1
1212076108,37.75872,-122.41875,abmuyawm,18
1212076466,37.74875,-122.42353,abmuyawm,70
1212076499,37.74874,-122.42354,abmuyawm,70
1212078918,37.70881,-122.41705,abmuyawm,71
1212079826,37.73611,-122.42373,abmuyawm,72
1212079885,37.73612,-122.42374,abmuyawm,72
1212089277,37.786,-122.45707,abmuyawm,23
1212092068,37.78196,-122.44566,abmuyawm,73
1212097708,37.78478,-122.43069,abmuyawm,1
1212097762,37.7834,-122.43264,abmuyawm,1
1212111708,37.78168,-122.43837,abmuyawm,41
1212112414,37.79286,-122.40346,abmuyawm,1
1212112447,37.79287,-122.4035,abmuyawm,1
1212115444,37.79685,-122.42208,abmuyawm,1
1212115564,37.79677,-122.42199,abmuyawm,1
1212118903,37.78045,-122.45628,abmuyawm,24
